article,title,change,words_before,words_after,words_changed,amending_act,amending_act_celex,in_force,diff,url_enacted,url_consolidated
1,Subject matter',amended,155,164,10,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""replace"", ""before"": ""SMEs,"", ""after"": ""small mid-cap enterprises (SMCs) and small and medium-sized enterprises (SMEs),""}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_1,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_1
2,Scope,amended,763,763,222,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""insert"", ""before"": """", ""after"": ""Article 60a and""}, {""op"": ""replace"", ""before"": ""109"", ""after"": ""112 shall apply. Articles 57, 58""}, {""op"": ""replace"", ""before"": ""Article 112 apply. Article 57 applies"", ""after"": ""59 shall apply""}, {""op"": ""delete"", ""before"": ""This Regulation does not apply to AI systems where and in so far they are placed on the market, put into service, or used with or without modification exclusively for military, defence or national security purposes, regardless of the type of entity carrying out those activities. This Regulation does not apply to AI systems which are not placed on the market or put into service in the Union, where the output is used in the Union exclusively for military, defence or national security purposes, regardless of the type of entity carrying out those activities."", ""after"": """"}, {""op"": ""replace"", ""before"": ""This"", ""after"": ""Without prejudice to Articles 4a and 59 of this Regulation, this""}, {""op"": ""replace"", ""before"": ""2016/680, without prejudice to Article 10(5) and Article 59 of this Regulation."", ""after"": ""2016/680.""}, {""op"": ""insert"", ""before"": """", ""after"": ""13. For high-risk AI systems referred to in Article 6(1), the application of specific requirements or obligations laid down in Articles 9 to 15 and 17 to 25 may be limited, where and to the extent that: (a) Union harmonisation legislation listed in Section A of Annex I lays down requirements or obligations providing an equivalent or higher level of protection of health, safety or fundamental rights as the requirement or obligation concerned; and (b) such limitation does not reduce the overall level of protection provided for by this Regulation.""}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_2
3,Definitions,amended,2897,2698,357,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""insert"", ""before"": """", ""after"": ""for the purposes of this definition, a component fulfils a safety function where its intended purpose is to prevent or mitigate risks to health and safety of persons or property; (14a) ‘micro, small and medium-sized enterprise’ or ‘SME’ means a micro, small or medium-sized enterprise as defined in Article 2 of the Annex to Recommendation 2003/361/EC; (14b) ‘small mid-cap enterprise’ or ‘SMC’ means a small mid-cap enterprise as defined in point (2) of the Annex to Recommendation (EU) 2025/1099;""}, {""op"": ""delete"", ""before"": ""(a) any public authority competent for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security; or (b) any other body or entity entrusted by Member State law to exercise public authority and public powers for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security;"", ""after"": """"}, {""op"": ""delete"", ""before"": ""(a) the death of a person, or serious harm to a person’s health; (b) a serious and irreversible disruption of the management or operation of critical infrastructure; (c) the infringement of obligations under Union law intended to protect fundamental rights; (d) serious harm to property or the environment;"", ""after"": """"}, {""op"": ""delete"", ""before"": ""(a) has harmed or is likely to harm the collective interests of individuals residing in at least two Member States other than the Member State in which: (i) the act or omission originated or took place; (ii) the provider concerned, or, where applicable, its authorised representative is located or established; or (iii) the deployer is established, when the infringement is committed by the deployer; (i) the act or omission originated or took place; (ii) the provider concerned, or, where applicable, its authorised representative is located or established; or (iii) the deployer is established, whe"", ""after"": """"}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_3,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_3
4,AI literacy,amended,77,188,124,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""insert"", ""before"": """", ""after"": ""1.""}, {""op"": ""replace"", ""before"": ""ensure, to their best extent, a sufficient level"", ""after"": ""support the development""}, {""op"": ""insert"", ""before"": """", ""after"": ""This obligation does not require providers or deployers to guarantee any specific level of AI literacy of any individual. 2. The Commission and the Member States shall support and facilitate the efforts of providers and deployers of AI systems, in particular SMEs, in fulfilling their obligation under paragraph 1 of this Article. For that purpose, the Commission shall publish practical examples of how to comply with that obligation on the single information platform referred to in Article 62(3), point (b). 3. The Board shall adopt recommendations, taking into account European competence framewo""}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_4
4a,Processing of special categories of personal data for bias detection and correction,inserted,0,382,382,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,,,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_4a
5,Prohibited AI practices,amended,1933,1766,750,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""insert"", ""before"": """", ""after"": ""(ba) the placing on the market, the putting into service or the use of an AI system that generates or manipulates realistic images, videos, audio or similar material of an identifiable natural person’s intimate parts, or of an identifiable natural person engaged in sexually explicit activities, without that person’s freely-given, specific, informed, unambiguous and explicit consent for that generation or manipulation; (bb) the placing on the market, the putting into service or the use of an AI system that generates or manipulates material or performance within the meaning of Article 2, points ""}, {""op"": ""delete"", ""before"": ""(i) detrimental or unfavourable treatment of certain natural persons or groups of persons in social contexts that are unrelated to the contexts in which the data was originally generated or collected; (ii) detrimental or unfavourable treatment of certain natural persons or groups of persons that is unjustified or disproportionate to their social behaviour or its gravity;"", ""after"": """"}, {""op"": ""insert"", ""before"": """", ""after"": ""1a. For the purposes of paragraph 1, first subparagraph, points (ba) and (bb): (a) the placing on the market or putting into service of an AI system that generates or manipulates the material or performance referred to in paragraph 1, first subparagraph, point (ba) or (bb) is only prohibited where:""}, {""op"": ""insert"", ""before"": """", ""after"": ""that generation or manipulation is""}, {""op"": ""replace"", ""before"": ""targeted search for specific victims"", ""after"": ""intended purpose""}, {""op"": ""replace"", ""before"": ""abduction, trafficking in human beings"", ""after"": ""the AI system;""}, {""op"": ""delete"", ""before"": ""sexual exploitation of human beings, as well as the search for missing persons;"", ""after"": """"}, {""op"": ""replace"", ""before"": ""prevention"", ""after"": ""system’s design, training, architecture, capabilities or user-facing functionalities make that generation or manipulation a reasonably foreseeable and reproducible outcome, without requiring significant technical modification, and the system does not have reasonable and adequate technical safety measures and other safeguards to reliably prevent that generation or manipulation, taking into account reasonably foreseeable misuse, and to correct observed or reported misuse; (b) the use""}, {""op"": ""replace"", ""before"": ""a specific, substantial"", ""after"": ""an AI system that generates or manipulates the material or performance referred to in paragraph 1, first subparagraph, points (ba)""}, {""op"": ""replace"", ""before"": ""imminent threat to"", ""after"": ""(bb) is only prohibited where""}, {""op"": ""replace"", ""before"": ""life or physical safety of natural persons or a genuine and present or genuine and foreseeable threat of a terrorist attack; (iii)"", ""after"": ""deployer uses""}, {""op"": ""replace"", ""before"": ""localisation or identification of a person suspected of having committed a criminal offence,"", ""after"": ""system""}, {""op"": ""replace"", ""before"": ""conducting"", ""after"": ""generating or manipulating such material or performance. 1b. For the purposes of paragraph 1, first subparagraph, point (ba), an AI system that manipulates material in""}, {""op"": ""replace"", ""before"": ""criminal investigation"", ""after"": ""way that does not increase the exposure of any depicted intimate parts""}, {""op"": ""replace"", ""before"": ""prosecution or executing a criminal penalty for offences referred to in Annex II and punishable in"", ""after"": ""alter""}, {""op"": ""replace"", ""before"": ""Member State concerned by a custodial sentence or a detention order for a maximum period"", ""after"": ""nature""}, {""op"": ""replace"", ""before"": ""at least four years. Point (h) of the first subparagraph is without prejudice to Article 9 of Regulation (EU) 2016/679 for the processing of biometric data for purposes other than law enforcement."", ""after"": ""any depicted sexually explicit activities shall not constitute manipulation.""}, {""op"": ""delete"", ""before"": ""In addition, the use of ‘real-time’ remote biometric identification systems in publicly accessible spaces for the purposes of law enforcement for any of the objectives referred to in paragraph 1, first subparagraph, point (h), of this Article shall comply with necessary and proportionate safeguards and conditions in relation to the use in accordance with the national law authorising the use thereof, in particular as regards the temporal, geographic and personal limitations. The use of the ‘real-time’ remote biometric identification system in publicly accessible spaces shall be authorised only "", ""after"": """"}, {""op"": ""delete"", ""before"": ""The competent judicial authority or an independent administrative authority whose decision is binding shall grant the authorisation only where it is satisfied, on the basis of objective evidence or clear indications presented to it, that the use of the ‘real-time’ remote biometric identification system concerned is necessary for, and proportionate to, achieving one of the objectives specified in paragraph 1, first subparagraph, point (h), as identified in the request and, in particular, remains limited to what is strictly necessary concerning the period of time as well as the geographic and pe"", ""after"": """"}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_5
6,Classification rules for high-risk AI systems,amended,659,650,249,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""insert"", ""before"": """", ""after"": ""1a. For the purposes of this Regulation, including paragraph 1 of this Article, AI systems that are solely used for non-safety related aspects of user assistance, performance optimisation, service efficiency, automation or convenience or quality control shall not qualify as safety components. 1b. Notwithstanding paragraph 1a, AI systems the failure or malfunctioning of which would endanger health and safety shall qualify as safety components. 1c. A product that is required to undergo a third-party conformity assessment solely due to risks other than risks to health and safety, in particular ri""}, {""op"": ""delete"", ""before"": ""(a) the AI system is intended to perform a narrow procedural task; (b) the AI system is intended to improve the result of a previously completed human activity; (c) the AI system is intended to detect decision-making patterns or deviations from prior decision-making patterns and is not meant to replace or influence the previously completed human assessment, without proper human review; or (d) the AI system is intended to perform a preparatory task to an assessment relevant for the purposes of the use cases listed in Annex III. The first subparagraph shall apply where any of the following condi"", ""after"": """"}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_6,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_6
7,Amendments to Annex III,amended,624,592,32,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""delete"", ""before"": ""(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for damages; (ii) effective measures to prevent or substantially minimise those risks."", ""after"": """"}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_7,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_7
9,Risk management system,amended,644,522,122,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""delete"", ""before"": ""(a) elimination or reduction of risks identified and evaluated pursuant to paragraph 2 in as far as technically feasible through adequate design and development of the high-risk AI system; (b) where appropriate, implementation of adequate mitigation and control measures addressing risks that cannot be eliminated; (c) provision of information required pursuant to Article 13 and, where appropriate, training to deployers. In identifying the most appropriate risk management measures, the following shall be ensured: With a view to eliminating or reducing risks related to the use of the high-risk AI"", ""after"": """"}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_9,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_9
10,Data and data governance,amended,686,410,314,Regulation (EU) 2026/1744 (Digital Omnibus on AI),32026R1744,2026-07-27,"[{""op"": ""replace"", ""before"": ""2 to 5"", ""after"": ""2, 3 and 4 of this Article and in Article 4a(1)""}, {""op"": ""delete"", ""before"": ""5. To the extent that it is strictly necessary for the purpose of ensuring bias detection and correction in relation to the high-risk AI systems in accordance with paragraph (2), points (f) and (g) of this Article, the providers of such systems may exceptionally process special categories of personal data, subject to appropriate safeguards for the fundamental rights and freedoms of natural persons. In addition to the provisions set out in Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680, all the following conditions must be met in order for such processing to occur: (a)"", ""after"": """"}, {""op"": ""replace"", ""before"": ""2 to 5"", ""after"": ""2, 3 and 4 of this Article and Article 4a(1) shall""}]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_10,https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng#art_10
